geo_point_2d,geo_shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na
"{'lon': 144.96578472064343, 'lat': -37.8030436798691}","{'type': 'Feature', 'geometry': {'coordinates': [144.96578472064343, -37.8030436798691], 'type': 'Point'}, 'properties': {}}",106097,N,Other Park Locations,53.36004813,Y,Other Park Locations:  Argyle Square (South),13,N,N,N,340,106097,,,Y,,N,0,L,Argyle Square (South)
"{'lon': 144.94487688658427, 'lat': -37.80864887136427}","{'type': 'Feature', 'geometry': {'coordinates': [144.94487688658427, -37.80864887136427], 'type': 'Point'}, 'properties': {}}",104755,Y,Other Park Locations,13.94508753,Y,Other Park Locations:  Hawke & Adderley Street Park,293,N,N,N,366,104755,,,Y,,N,0,L,Hawke & Adderley Street Park
"{'lon': 144.92134758302743, 'lat': -37.798249959297706}","{'type': 'Feature', 'geometry': {'coordinates': [144.92134758302743, -37.798249959297706], 'type': 'Point'}, 'properties': {}}",105220,N,Holland Park,34.32973394,N,Holland Park:  HP - Extreme Sports Area,143,N,N,N,174,586156,Y,,Y,,N,0,M,HP - Extreme Sports Area
"{'lon': 144.9612333391193, 'lat': -37.78788013831968}","{'type': 'Feature', 'geometry': {'coordinates': [144.9612333391193, -37.78788013831968], 'type': 'Point'}, 'properties': {}}",107696,N,Princes Park,0.0,N,Princes Park:  PP -  S2,0,N,N,N,211,0,Y,,Y,,N,0,M,PP -  S2
"{'lon': 144.94213123612462, 'lat': -37.823381504683944}","{'type': 'Feature', 'geometry': {'coordinates': [144.94213123612462, -37.823381504683944], 'type': 'Point'}, 'properties': {}}",611697,N,Docklands,37.11110181,Y,Docklands:  Parks:  Point Park,217,N,N,N,1222,642867,N,,Y,Point Park,N,0,L,Parks
"{'lon': 144.97348681194194, 'lat': -37.81907379935277}","{'type': 'Feature', 'geometry': {'coordinates': [144.97348681194194, -37.81907379935277], 'type': 'Point'}, 'properties': {}}",573368,N,Birrarung Marr,0.0,Y,Birrarung Marr:  BM - Lower Terrace,0,N,N,N,410,0,,,Y,,N,0,H,BM - Lower Terrace
"{'lon': 144.9549599190524, 'lat': -37.78651883720741}","{'type': 'Feature', 'geometry': {'coordinates': [144.9549599190524, -37.78651883720741], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,2.43705273,N,Royal Park:  RP - Lawn 6_Brens Pavillion,87,N,N,N,285,587540,Y,,Y,,N,0,L,RP - Lawn 6_Brens Pavillion
"{'lon': 144.95666911563225, 'lat': -37.8218387826011}","{'type': 'Feature', 'geometry': {'coordinates': [144.95666911563225, -37.8218387826011], 'type': 'Point'}, 'properties': {}}",611396,N,Batman Park,58.90826433,Y,Batman Park:  BP - Lawn1,61,Y,N,N,42,625420,,,Y,,N,0,H,BP - Lawn1
"{'lon': 144.97316890836038, 'lat': -37.825622187644704}","{'type': 'Feature', 'geometry': {'coordinates': [144.97316890836038, -37.825622187644704], 'type': 'Point'}, 'properties': {}}",108615,N,Kings Domain,0.0,Y,Kings Domain:  KD - Lawn 5,0,N,N,N,180,0,,,Y,,Y,0,M,KD - Lawn 5
"{'lon': 144.9716331365811, 'lat': -37.821741117796826}","{'type': 'Feature', 'geometry': {'coordinates': [144.9716331365811, -37.821741117796826], 'type': 'Point'}, 'properties': {}}",111022,N,Queen Victoria Gardens,51.75918514,Y,Queen Victoria Gardens:  QV - Lawn 6,200,N,N,N,227,111022,,,Y,,Y,0,L,QV - Lawn 6
"{'lon': 144.94502698055896, 'lat': -37.820333013933215}","{'type': 'Feature', 'geometry': {'coordinates': [144.94502698055896, -37.820333013933215], 'type': 'Point'}, 'properties': {}}",622440,N,Docklands,35.46487353,Y,Docklands:  Parks:  Victoria Green,97,N,N,N,1335,638117,N,,Y,Victoria Green,N,0,L,Parks
"{'lon': 144.94671143397167, 'lat': -37.82080116244484}","{'type': 'Feature', 'geometry': {'coordinates': [144.94671143397167, -37.82080116244484], 'type': 'Point'}, 'properties': {}}",592862,Y,Docklands,72.76344912,Y,Docklands:  Parks:  Docklands Park,17,N,N,N,1221,588912,N,,Y,Docklands Park,N,0,L,Parks
"{'lon': 144.97217670047405, 'lat': -37.82043882334664}","{'type': 'Feature', 'geometry': {'coordinates': [144.97217670047405, -37.82043882334664], 'type': 'Point'}, 'properties': {}}",101101,N,Alexandra Gardens,49.28361121,Y,Alexandra Gardens:  AG - Lawn5/Engineers Lawn,236,N,N,N,7,503004,,,Y,,N,0,H,AG - Lawn5/Engineers Lawn
"{'lon': 144.92377402177027, 'lat': -37.793738962584186}","{'type': 'Feature', 'geometry': {'coordinates': [144.92377402177027, -37.793738962584186], 'type': 'Point'}, 'properties': {}}",100894,Y,Other Park Locations,23.65235611,Y,Other Park Locations:  Bayswater Road Park,119,N,N,N,342,100894,,,Y,,N,0,L,Bayswater Road Park
"{'lon': 144.98077042741397, 'lat': -37.81640437288307}","{'type': 'Feature', 'geometry': {'coordinates': [144.98077042741397, -37.81640437288307], 'type': 'Point'}, 'properties': {}}",111460,N,Other Park Locations,9.69851734,Y,Other Park Locations:  Jolimont Reserve,185,N,N,N,372,111460,,,Y,,N,0,L,Jolimont Reserve
"{'lon': 144.9798342931686, 'lat': -37.839308670086034}","{'type': 'Feature', 'geometry': {'coordinates': [144.9798342931686, -37.839308670086034], 'type': 'Point'}, 'properties': {}}",103756,Y,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 17_SB1_SB2_Ct2_S7,0,N,N,N,63,0,Y,,Y,,N,0,M,FP - Lawn 17_SB1_SB2_Ct2_S7
"{'lon': 144.97125527823184, 'lat': -37.80614633537273}","{'type': 'Feature', 'geometry': {'coordinates': [144.97125527823184, -37.80614633537273], 'type': 'Point'}, 'properties': {}}",108268,N,Carlton Gardens,59.76575599,Y,Carlton Gardens:  CG - Lawn 15/Exhibition Fountain,254,N,N,N,33,546082,,,Y,,Y,0,L,CG - Lawn 15/Exhibition Fountain
"{'lon': 144.95543739832556, 'lat': -37.81109383330219}","{'type': 'Feature', 'geometry': {'coordinates': [144.95543739832556, -37.81109383330219], 'type': 'Point'}, 'properties': {}}",102942,N,Flagstaff Gardens,40.9784417,Y,Flagstaff Gardens:  FG - Lawn 13,28,Y,N,N,160,102943,,,Y,,N,0,M,FG - Lawn 13
"{'lon': 144.97821259791684, 'lat': -37.83786569290351}","{'type': 'Feature', 'geometry': {'coordinates': [144.97821259791684, -37.83786569290351], 'type': 'Point'}, 'properties': {}}",103756,N,Fawkner Park,75.91984284,Y,Fawkner Park:  FP - Lawn 2,79,Y,N,N,48,578355,N,,Y,,N,0,M,FP - Lawn 2
"{'lon': 144.97357416146477, 'lat': -37.81809223608963}","{'type': 'Feature', 'geometry': {'coordinates': [144.97357416146477, -37.81809223608963], 'type': 'Point'}, 'properties': {}}",573368,N,Birrarung Marr,30.18759601,Y,Birrarung Marr:  BM - Upper Terrace,174,N,N,N,408,586155,,,Y,,N,0,H,BM - Upper Terrace
"{'lon': 144.97091499439267, 'lat': -37.82045612204152}","{'type': 'Feature', 'geometry': {'coordinates': [144.97091499439267, -37.82045612204152], 'type': 'Point'}, 'properties': {}}",101101,N,Alexandra Gardens,91.31570746,Y,Alexandra Gardens:  AG - Star Lawn,336,Y,N,N,6,503004,,,Y,,N,0,H,AG - Star Lawn
"{'lon': 144.91570500420156, 'lat': -37.79509438558714}","{'type': 'Feature', 'geometry': {'coordinates': [144.91570500420156, -37.79509438558714], 'type': 'Point'}, 'properties': {}}",102249,N,Other Park Locations,0.0,Y,Other Park Locations:  Riverside Park,0,N,N,N,1372,0,,,Y,,N,0,L,Riverside Park
"{'lon': 144.94274377653426, 'lat': -37.819126879284596}","{'type': 'Feature', 'geometry': {'coordinates': [144.94274377653426, -37.819126879284596], 'type': 'Point'}, 'properties': {}}",604120,N,Docklands,19.96470731,Y,Docklands:  All Other Spaces:  Victoria Harbour Promenade West,334,N,N,N,1312,612595,,,Y,Victoria Harbour Promenade West,N,23300,,All Other Spaces
"{'lon': 144.9810169487427, 'lat': -37.81235139096792}","{'type': 'Feature', 'geometry': {'coordinates': [144.9810169487427, -37.81235139096792], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,90.64589906,Y,Fitzroy Gardens:  FT - Lawn 10/Stage Lawn,286,N,N,N,115,111456,,,Y,,N,0,M,FT - Lawn 10/Stage Lawn
"{'lon': 144.94594900298196, 'lat': -37.82253142158812}","{'type': 'Feature', 'geometry': {'coordinates': [144.94594900298196, -37.82253142158812], 'type': 'Point'}, 'properties': {}}",624154,N,Docklands,88.43716039,Y,Docklands:  All Other Spaces:  Australia Wharf,4,N,N,N,1416,633207,,,Y,Australia Wharf,N,23302,,All Other Spaces
"{'lon': 144.9728253732698, 'lat': -37.822753634054926}","{'type': 'Feature', 'geometry': {'coordinates': [144.9728253732698, -37.822753634054926], 'type': 'Point'}, 'properties': {}}",108615,N,Kings Domain,0.0,Y,Kings Domain:  KD - Lawn 1,0,Y,N,N,175,0,,,Y,,N,0,M,KD - Lawn 1
"{'lon': 144.96485355506087, 'lat': -37.829803138137365}","{'type': 'Feature', 'geometry': {'coordinates': [144.96485355506087, -37.829803138137365], 'type': 'Point'}, 'properties': {}}",110628,N,Other Park Locations,36.46091337,Y,Other Park Locations:  Sturt Street Reserve,335,N,N,N,396,110628,,,Y,,N,0,L,Sturt Street Reserve
"{'lon': 144.9722702183175, 'lat': -37.805870529120305}","{'type': 'Feature', 'geometry': {'coordinates': [144.9722702183175, -37.805870529120305], 'type': 'Point'}, 'properties': {}}",108268,N,Carlton Gardens,0.0,Y,Carlton Gardens:  CG - Lawn 18,0,N,N,N,36,0,,,Y,,Y,0,L,CG - Lawn 18
"{'lon': 144.95380005501625, 'lat': -37.79092904752804}","{'type': 'Feature', 'geometry': {'coordinates': [144.95380005501625, -37.79092904752804], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 2_Native Grassland,0,N,N,Y,237,0,N,,Y,,N,0,L,RP - Lawn 2_Native Grassland
"{'lon': 144.95582905318707, 'lat': -37.7874641957267}","{'type': 'Feature', 'geometry': {'coordinates': [144.95582905318707, -37.7874641957267], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Smith Ct1_R1,0,N,N,N,255,0,Y,,Y,,N,0,L,RP - Lawn 6_Smith Ct1_R1
"{'lon': 144.96037070486315, 'lat': -37.82541356209026}","{'type': 'Feature', 'geometry': {'coordinates': [144.96037070486315, -37.82541356209026], 'type': 'Point'}, 'properties': {}}",108053,N,Other Park Locations,7.72514826,Y,Other Park Locations:  City Road Park,142,N,N,N,349,108053,,,Y,,N,0,L,City Road Park
"{'lon': 144.94246396491934, 'lat': -37.81471918160141}","{'type': 'Feature', 'geometry': {'coordinates': [144.94246396491934, -37.81471918160141], 'type': 'Point'}, 'properties': {}}",579369,N,Docklands,12.64858209,Y,Docklands:  Promotional Sites:  3.New Quay Promenade East,269,N,N,N,1225,598290,,,Y,3.New Quay Promenade East,N,22785,,Promotional Sites
"{'lon': 144.9554621837315, 'lat': -37.78557214679238}","{'type': 'Feature', 'geometry': {'coordinates': [144.9554621837315, -37.78557214679238], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Walker West_Ct1,0,N,N,N,276,0,Y,,Y,,N,0,L,RP - Lawn 6_Walker West_Ct1
"{'lon': 144.98138704362836, 'lat': -37.81343655949792}","{'type': 'Feature', 'geometry': {'coordinates': [144.98138704362836, -37.81343655949792], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,34.12994643,N,Fitzroy Gardens:  FT - Lawn 17/Fairies Tree,106,N,N,N,142,111456,,,Y,,Y,0,M,FT - Lawn 17/Fairies Tree
"{'lon': 144.97209370154812, 'lat': -37.82222654478082}","{'type': 'Feature', 'geometry': {'coordinates': [144.97209370154812, -37.82222654478082], 'type': 'Point'}, 'properties': {}}",111022,N,Queen Victoria Gardens,97.14148642,Y,Queen Victoria Gardens:  QV - Lawn 8/Janet Lady Clarke Rotunda,159,N,N,N,234,111022,,,Y,,Y,0,L,QV - Lawn 8/Janet Lady Clarke Rotunda
"{'lon': 144.97906793552542, 'lat': -37.81298697778184}","{'type': 'Feature', 'geometry': {'coordinates': [144.97906793552542, -37.81298697778184], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,0.0,Y,Fitzroy Gardens:  FT - Lawn 16/Plane Trees Walk,0,N,N,N,121,0,,,Y,,Y,0,M,FT - Lawn 16/Plane Trees Walk
"{'lon': 144.9760041522687, 'lat': -37.81495896271758}","{'type': 'Feature', 'geometry': {'coordinates': [144.9760041522687, -37.81495896271758], 'type': 'Point'}, 'properties': {}}",108996,N,Treasury Gardens,0.0,Y,Treasury Gardens:  TG - Lawn 4,0,N,N,N,294,0,,,Y,,Y,0,M,TG - Lawn 4
"{'lon': 144.98224942953067, 'lat': -37.81325219530026}","{'type': 'Feature', 'geometry': {'coordinates': [144.98224942953067, -37.81325219530026], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,85.63768375,Y,Fitzroy Gardens:  FT - Lawn 19,173,Y,N,N,124,111456,,,Y,,Y,0,M,FT - Lawn 19
"{'lon': 144.9685428864335, 'lat': -37.82575943488854}","{'type': 'Feature', 'geometry': {'coordinates': [144.9685428864335, -37.82575943488854], 'type': 'Point'}, 'properties': {}}",0,N,Other Park Locations,8.22487985,Y,Other Park Locations:  Grant St Reserve,5,N,N,N,364,108656,,,Y,,N,22824,L,Grant St Reserve
"{'lon': 144.9602987202407, 'lat': -37.800998173908575}","{'type': 'Feature', 'geometry': {'coordinates': [144.9602987202407, -37.800998173908575], 'type': 'Point'}, 'properties': {}}",107552,N,Other Park Locations,65.5112548,Y,Other Park Locations:  University Square,169,Y,N,N,400,502486,,,Y,,N,0,L,University Square
"{'lon': 144.95524934044755, 'lat': -37.82664251858025}","{'type': 'Feature', 'geometry': {'coordinates': [144.95524934044755, -37.82664251858025], 'type': 'Point'}, 'properties': {}}",624055,N,Other Park Locations,14.63335226,Y,Other Park Locations:  Normanby Road Reserve,58,N,N,N,382,624055,,,Y,,N,0,L,Normanby Road Reserve
"{'lon': 144.95044984461694, 'lat': -37.79953758061649}","{'type': 'Feature', 'geometry': {'coordinates': [144.95044984461694, -37.79953758061649], 'type': 'Point'}, 'properties': {}}",103485,N,Other Park Locations,32.62300772,Y,Other Park Locations:  Errol St Reserve,172,N,N,N,358,103453,,,Y,,N,0,L,Errol St Reserve
"{'lon': 144.94131177323902, 'lat': -37.799055317643926}","{'type': 'Feature', 'geometry': {'coordinates': [144.94131177323902, -37.799055317643926], 'type': 'Point'}, 'properties': {}}",100514,N,Other Park Locations,0.0,Y,Other Park Locations:  North Melbourne Recreation Reserve,0,N,N,Y,1248,0,,,Y,,N,0,L,North Melbourne Recreation Reserve
"{'lon': 144.94909109002268, 'lat': -37.805459724438954}","{'type': 'Feature', 'geometry': {'coordinates': [144.94909109002268, -37.805459724438954], 'type': 'Point'}, 'properties': {}}",104709,N,Other Park Locations,3.71520312,Y,"Other Park Locations:  Hawke, King & Victoria St Reserve",123,N,N,N,368,104709,,,Y,,N,0,L,"Hawke, King & Victoria St Reserve"
"{'lon': 144.97923176374886, 'lat': -37.81146168205138}","{'type': 'Feature', 'geometry': {'coordinates': [144.97923176374886, -37.81146168205138], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,0.0,N,Fitzroy Gardens:  FT - Lawn 12,0,N,N,N,117,0,,,Y,,Y,0,M,FT - Lawn 12
"{'lon': 144.9840541673097, 'lat': -37.83979471792946}","{'type': 'Feature', 'geometry': {'coordinates': [144.9840541673097, -37.83979471792946], 'type': 'Point'}, 'properties': {}}",103756,Y,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 13_SB9_SB10_Cs7_SUB3,0,N,N,N,82,0,Y,,Y,,N,0,M,FP - Lawn 13_SB9_SB10_Cs7_SUB3
"{'lon': 144.97306989164414, 'lat': -37.80021407728376}","{'type': 'Feature', 'geometry': {'coordinates': [144.97306989164414, -37.80021407728376], 'type': 'Point'}, 'properties': {}}",106828,N,Other Park Locations,24.86003702,Y,Other Park Locations:  Murchison Square,79,N,N,N,381,524046,,,Y,,N,0,L,Murchison Square
"{'lon': 144.96288089932796, 'lat': -37.80241985976288}","{'type': 'Feature', 'geometry': {'coordinates': [144.96288089932796, -37.80241985976288], 'type': 'Point'}, 'properties': {}}",101264,Y,Other Park Locations,82.9730718,Y,Other Park Locations:  Lincoln Square - includes Bali Memorial,341,Y,N,N,377,621145,,,Y,,N,0,L,Lincoln Square - includes Bali Memorial
"{'lon': 144.98229287122496, 'lat': -37.81257102411102}","{'type': 'Feature', 'geometry': {'coordinates': [144.98229287122496, -37.81257102411102], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,96.01036777,N,Fitzroy Gardens:  FT- Lawn 18/Temple of the Winds,339,N,N,N,140,102006,,,Y,,Y,0,M,FT- Lawn 18/Temple of the Winds
"{'lon': 144.98373298006237, 'lat': -37.840740868214844}","{'type': 'Feature', 'geometry': {'coordinates': [144.98373298006237, -37.840740868214844], 'type': 'Point'}, 'properties': {}}",103756,Y,Fawkner Park,0.0,Y,Fawkner Park:  FP - Lawn 14_SUB2_Grass Netball Courts,0,N,N,N,60,0,Y,,Y,,N,0,M,FP - Lawn 14_SUB2_Grass Netball Courts
"{'lon': 144.96068893885598, 'lat': -37.78969724504652}","{'type': 'Feature', 'geometry': {'coordinates': [144.96068893885598, -37.78969724504652], 'type': 'Point'}, 'properties': {}}",107696,N,Princes Park,0.0,N,Princes Park:  PP - Crawford_Ct3_F2,0,N,N,Y,208,0,Y,,Y,,N,0,M,PP - Crawford_Ct3_F2
"{'lon': 144.94862438795033, 'lat': -37.80518674164739}","{'type': 'Feature', 'geometry': {'coordinates': [144.94862438795033, -37.80518674164739], 'type': 'Point'}, 'properties': {}}",110911,N,Other Park Locations,1.7382153,Y,"Other Park Locations:  Hawke, King & Errol St Reserve",234,N,N,N,367,110911,,,Y,,N,0,L,"Hawke, King & Errol St Reserve"
"{'lon': 144.98237744450677, 'lat': -37.84179927057013}","{'type': 'Feature', 'geometry': {'coordinates': [144.98237744450677, -37.84179927057013], 'type': 'Point'}, 'properties': {}}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 16 North West_SB6_Cs6,0,N,N,N,89,0,Y,,Y,,N,0,M,FP - Lawn 16 North West_SB6_Cs6
"{'lon': 144.9655258951844, 'lat': -37.807254494588605}","{'type': 'Feature', 'geometry': {'coordinates': [144.9655258951844, -37.807254494588605], 'type': 'Point'}, 'properties': {}}",110910,N,Other Park Locations,1.68342765,Y,Other Park Locations:  Eight Hour Reserve,115,N,N,N,356,110910,,,Y,,N,0,L,Eight Hour Reserve
"{'lon': 144.97400108745657, 'lat': -37.8256038979912}","{'type': 'Feature', 'geometry': {'coordinates': [144.97400108745657, -37.8256038979912], 'type': 'Point'}, 'properties': {}}",108615,N,Kings Domain,87.8359753,Y,Kings Domain:  KD - Lawn 6,41,N,N,N,181,529525,,,Y,,Y,0,M,KD - Lawn 6
"{'lon': 144.95138817821424, 'lat': -37.80722985858516}","{'type': 'Feature', 'geometry': {'coordinates': [144.95138817821424, -37.80722985858516], 'type': 'Point'}, 'properties': {}}",103031,Y,Other Park Locations,28.88152155,Y,Other Park Locations:  Eades Park,240,N,N,N,355,511025,,,Y,,N,0,L,Eades Park
"{'lon': 144.96152285042714, 'lat': -37.78533714442047}","{'type': 'Feature', 'geometry': {'coordinates': [144.96152285042714, -37.78533714442047], 'type': 'Point'}, 'properties': {}}",107696,N,Princes Park,0.0,N,Princes Park:  PP - Jogging Track,0,N,N,Y,204,0,Y,,Y,,N,0,M,PP - Jogging Track
"{'lon': 144.98221959000998, 'lat': -37.81421592609631}","{'type': 'Feature', 'geometry': {'coordinates': [144.98221959000998, -37.81421592609631], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,74.99067918,N,Fitzroy Gardens:  FT - Lawn 20,353,N,N,N,125,102010,,,Y,,Y,0,M,FT - Lawn 20
"{'lon': 144.97922588127173, 'lat': -37.81366726003603}","{'type': 'Feature', 'geometry': {'coordinates': [144.97922588127173, -37.81366726003603], 'type': 'Point'}, 'properties': {}}",103807,N,Fitzroy Gardens,75.69132777,N,Fitzroy Gardens:  FT - Lawn 23,219,N,N,N,128,111454,,,Y,,Y,0,M,FT - Lawn 23
"{'lon': 144.9442602128394, 'lat': -37.7835554018556}","{'type': 'Feature', 'geometry': {'coordinates': [144.9442602128394, -37.7835554018556], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,1.92265838,N,Royal Park:  RP - Ross Straw Pavilion,347,N,N,N,279,622034,Y,,Y,,N,0,L,RP - Ross Straw Pavilion
"{'lon': 144.94071830480414, 'lat': -37.820390798392886}","{'type': 'Feature', 'geometry': {'coordinates': [144.94071830480414, -37.820390798392886], 'type': 'Point'}, 'properties': {}}",651910,N,Docklands,36.44455572,Y,Docklands:  Parks:  Buluk Park,308,N,N,N,1627,651910,N,,Y,Buluk Park,N,0,L,Parks
"{'lon': 144.9639539668349, 'lat': -37.81016918630516}","{'type': 'Feature', 'geometry': {'coordinates': [144.9639539668349, -37.81016918630516], 'type': 'Point'}, 'properties': {}}",0,N,Promotional Spaces,18.70816243,N,Promotional Spaces:  Melbourne Central Station - Swanston Street,279,N,N,N,542,532307,,,Y,,N,20161,,Melbourne Central Station - Swanston Street
"{'lon': 144.97160935341145, 'lat': -37.82501390648506}","{'type': 'Feature', 'geometry': {'coordinates': [144.97160935341145, -37.82501390648506], 'type': 'Point'}, 'properties': {}}",108615,N,Tom's Block,0.0,Y,Tom's Block:  Tom's Block,0,Y,N,N,420,0,,,Y,,N,0,M,Tom's Block
"{'lon': 144.95531877123642, 'lat': -37.77855677831291}","{'type': 'Feature', 'geometry': {'coordinates': [144.95531877123642, -37.77855677831291], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_Ransford Ct_F2_L3,0,N,N,N,268,0,Y,,Y,,N,0,L,RP - Lawn 9_Ransford Ct_F2_L3
"{'lon': 144.98200532503284, 'lat': -37.812010691974855}","{'type': 'Feature', 'geometry': {'coordinates': [144.98200532503284, -37.812010691974855], 'type': 'Point'}, 'properties': {}}",103807,Y,Fitzroy Gardens,0.0,Y,Fitzroy Gardens:  FT - Lawn 9/Old Bandstand,0,N,N,N,137,0,,,Y,,Y,0,M,FT - Lawn 9/Old Bandstand
"{'lon': 144.9554621837315, 'lat': -37.78557214679238}","{'type': 'Feature', 'geometry': {'coordinates': [144.9554621837315, -37.78557214679238], 'type': 'Point'}, 'properties': {}}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Walker_M1,0,N,N,N,278,0,Y,,Y,,N,0,L,RP - Lawn 6_Walker_M1
"{'lon': 144.98237744450677, 'lat': -37.84179927057013}","{'type': 'Feature', 'geometry': {'coordinates': [144.98237744450677, -37.84179927057013], 'type': 'Point'}, 'properties': {}}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 16 South West_Cs4_S1,0,N,N,N,90,0,Y,,Y,,N,0,M,FP - Lawn 16 South West_Cs4_S1
"{'lon': 144.97341493739142, 'lat': -37.812775775186815}","{'type': 'Feature', 'geometry': {'coordinates': [144.97341493739142, -37.812775775186815], 'type': 'Point'}, 'properties': {}}",108981,N,Promotional Spaces,36.986586,N,Promotional Spaces:  Parliament Station,118,N,N,N,748,531157,,,Y,,N,0,,Parliament Station
